"Mkt Al","Orig","Dest","Op Al","Stop-1 Al","Stop-1 Airport","Stop-2 Al","Stop-2 Airport","Total Pax","Pax Share","% POO Orig","% POO Dest","% POO Other","Fare","Rev","Yield","Year","Month","Class","Year-Month-Day"
"JQ","DMK","SYD","FD","JQ","HKT",NULL,NULL,"0.4364","3.708876159091611e-05","95.16441796516956","4.844326306141154","0","296.62511457378554","129.4472","0.0393918145865878","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VA","DMK","SYD","ID","VA","DPS",NULL,NULL,"8.0387","0.0006831930059598","95.18","4.82","0","434.89400027367606","3495.9824","0.0577539223144193","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"VA","DMK","SYD","OD","OD","KUL","VA","DPS","0.5434","4.618247719638821e-05","95.18","4.82","0","434.8571954361428","236.3014","0.0577490346320728","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"QH","WUH","SYD","CX","CX","HKG","QH","SGN","1.5518","0.0001318843726782","95.6622322464235","4.337767753576491","0","315.5690810671478","489.7001","0.0387291201768676","2023","Jan","DiscountEco","2023-01-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"0.9502","0.1051364034741706","100","0","0","1523.137444748474","1447.2852","0.194339574271127","2022","Jan","First","2022-01-01 00:00:00"
"EK","BOM","SYD","EK","EK","DXB",NULL,NULL,"1.0088","0.1116202944903634","100","0","0","4902.245241871531","4945.385","0.4828204089413459","2022","Jan","First","2022-01-01 00:00:00"
"EK","MAA","SYD","EK","EK","DXB",NULL,NULL,"1.0986","0.1215563595629592","100","0","0","4589.152557800838","5041.643","0.5030993624390001","2022","Jan","First","2022-01-01 00:00:00"
"EK","ISB","SYD","EK","EK","DXB",NULL,NULL,"1.3808","0.1527808313167067","97.15","2.85","0","5098.426057358053","7039.9067","0.4603334883465378","2022","Jan","First","2022-01-01 00:00:00"
"QR","BOM","SYD","QR","QR","DOH",NULL,NULL,"1.6978","0.1878558049025961","98.15","1.8500000000000003","0","1127.304452821298","1913.9375","0.1110278188989147","2022","Jan","First","2022-01-01 00:00:00"
"SQ","SZX","SYD","SQ","SQ","SIN",NULL,NULL,"0.0263","0.0029100056949807","95.95513307984793","0","4.052357414448669","1426.1064638783268","37.5066","0.1925138975977342","2022","Jan","First","2022-01-01 00:00:00"
"SQ","HKG","SYD","SQ","SQ","SIN",NULL,NULL,"9.0464","0.9031742385282924","99.3260632958967","0.6739367041032898","0","1376.3187013618676","12450.7295","0.186725936549355","2022","Feb","First","2022-02-01 00:00:00"
"SQ","HKG","SYD","SQ","SQ","SIN",NULL,NULL,"12.1332","0.6207439667499955","99.47","0.5399999999999999","0","1412.2595028516796","17135.227","0.1916020454127158","2022","Apr","First","2022-04-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"24.9962","1.278825070193868","100","0","0","1499.0346932733776","37470.171","0.1912642651605912","2022","Apr","First","2022-04-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG","QF","MEL","1.4243","0.0728682978803628","100","0","0","1499.071965175876","2135.1282","0.1912690207430167","2022","Apr","First","2022-04-01 00:00:00"
"SQ","PNH","SYD","SQ","SQ","SIN",NULL,NULL,"1.4004","0.0716455552563787","98.05","1.95","0","1347.999071693802","1887.7379","0.1918918184207434","2022","Apr","First","2022-04-01 00:00:00"
"SQ","SUB","SYD","SQ","SQ","SIN",NULL,NULL,"0.8","0.0565862065038629","100","0","0","404.951875","323.9615","0.082392085296106","2022","Jun","First","2022-06-01 00:00:00"
"SQ","HKG","SYD","SQ","SQ","SIN",NULL,NULL,"13.1225","0.5664910476067464","100","0","0","1609.0376833682608","21114.597","0.2182990524453739","2022","Jul","First","2022-07-01 00:00:00"
"SQ","CGK","SYD","SQ","SQ","SIN",NULL,NULL,"5.0116","0.2163479926984926","98.65000000000002","1.35","0","1260.870779790885","6318.98","0.2285498182546967","2022","Jul","First","2022-07-01 00:00:00"
"CZ","NKG","SYD","CZ","CZ","CAN",NULL,NULL,"1.3215","0.0570484221308679","100","0","0","1380.2370034052217","1823.9832","0.1720785532503661","2022","Jul","First","2022-07-01 00:00:00"
"CZ","HGH","SYD","CZ","CZ","CAN",NULL,NULL,"1.6235","0.0700855946496134","100","0","0","1349.527563905143","2190.958","0.1729341201136179","2022","Jul","First","2022-07-01 00:00:00"
"CX","PEK","SYD","CX","CX","HKG",NULL,NULL,"3.1574","0.1363032069890296","100","0","0","1881.868309368468","5941.811","0.2106916668411029","2022","Jul","First","2022-07-01 00:00:00"
"CX","PVG","SYD","CX","CX","HKG",NULL,NULL,"9.1491","0.3949615731498482","97.96802286563708","2.031977134362943","0","1692.5948126045182","15485.7192","0.2159609143805139","2022","Jul","First","2022-07-01 00:00:00"
"SQ","SIN","SYD","SQ","VA","MEL",NULL,NULL,"11.8521","0.352205917597883","100","0","0","490.5679752955172","5814.2607","0.0780201706232487","2022","Oct","First","2022-10-01 00:00:00"
